Account ID,,,,,,,,,,,,,
43546666-87bf-47d5-ac3c-735186a6dfe1,,,,,,,,,,,,,
Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,TR,Unknown Stream,6,0.0029494,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,CA,Unknown Stream,2,0.0042194,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,CL,Unknown Stream,1,0.0020341,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,DE,Unknown Stream,9,0.0139811,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,ID,Unknown Stream,1,0.0003941,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,PE,Unknown Stream,1,0.0006495,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,PH,Unknown Stream,1,0.0005172,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,SE,Unknown Stream,1,0.0024758,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,US,Unknown Stream,38,0.0950633,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Spotify,SE,Unknown Stream,1,0.0024758,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Spotify,US,Unknown Stream,39,0.0996922,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Spotify,SE,Unknown Stream,1,0.0024758,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Spotify,US,Unknown Stream,30,0.0659718,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,PT,Unknown Stream,1,0.001348,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,SE,Unknown Stream,2,0.0049517,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,US,Unknown Stream,37,0.090116,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Spotify,PT,Unknown Stream,1,0.001348,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Spotify,SE,Unknown Stream,1,0.0024758,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Spotify,US,Unknown Stream,43,0.1164914,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Spotify,PT,Unknown Stream,1,0.001348,80,100
2023-06,2023-08,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Spotify,SE,Unknown Stream,1,0.0024758,80,100
